,Name,Value,Robust std err.,Robust t-stat.,Robust p-value,Active bound
0,gamma_boiler,3.0596870561777076,0.6074932821673095,5.036577598458185,4.739290317967715e-07,False
1,theta_boiler_early,0.0,0.21537542779660626,0.0,1.0,True
2,theta_boiler_late,-0.3339851539645785,0.1619167830614479,-2.0626963286309246,0.03914148895611502,False
3,theta_boiler_short,0.0,0.7728844368062628,0.0,1.0,True
4,theta_boiler_long,-3.5898766119448093,0.5037507170030415,-7.126295786340557,1.0309531006669204e-12,False
5,gamma_washing_machine,0.0,0.5238267934833084,0.0,1.0,True
6,theta_washing_machine_early,-3.469446951953614e-18,0.2785334298733516,-1.2456124040590612e-17,1.0,True
7,theta_washing_machine_late,-0.4250446679022978,0.20716130269093658,-2.0517570722965615,0.040193277123966586,False
8,theta_washing_machine_short,-0.29764372333759304,0.36878631658370814,-0.8070899324433938,0.41961467193701374,False
9,theta_washing_machine_long,-0.5113930883059398,0.10451075425501025,-4.893210195939463,9.920435386501225e-07,False
