,Name,Value,Robust std err.,Robust t-stat.,Robust p-value,Active bound
0,gamma_ac_1,0.9619011051191996,0.6406737144212137,1.5013899953554104,0.13325472003881345,False
1,theta_ac_1_early,0.0,0.33181266910409474,0.0,1.0,True
2,theta_ac_1_late,0.0,0.3528555526803773,0.0,1.0,True
3,theta_ac_1_short,0.0,0.4118008088263064,0.0,1.0,True
4,theta_ac_1_long,0.0,0.17295574110694428,0.0,1.0,True
5,gamma_ac_2,2.0543720911425183,0.8469174608823468,2.4257052027268458,0.015278675484442727,False
6,theta_ac_2_early,0.0,0.5534122568250572,0.0,1.0,True
7,theta_ac_2_late,0.0,0.5071688959520092,0.0,1.0,True
8,theta_ac_2_short,0.0,0.7739276978232804,0.0,1.0,True
9,theta_ac_2_long,-0.11741280989544088,0.1600019165931992,-0.7338212716161392,0.4630576744023376,False
10,gamma_ac_3,0.0,0.6082811967941997,0.0,1.0,True
11,theta_ac_3_early,0.0,0.6805613654213037,0.0,1.0,True
12,theta_ac_3_late,0.0,0.6427497132023513,0.0,1.0,True
13,theta_ac_3_short,0.0,1.1681320909837847,0.0,1.0,True
14,theta_ac_3_long,0.0,0.1989464750061776,0.0,1.0,True
15,gamma_boiler,5.02003980069281,0.9615587417531141,5.22073128006748,1.7821798281580925e-07,False
16,theta_boiler_early,0.0,0.20658072875430875,0.0,1.0,True
17,theta_boiler_late,-0.08100952245071437,0.2295652733407036,-0.35288230345922617,0.724176678255807,False
18,theta_boiler_short,0.0,1.6169534190082566,0.0,1.0,True
19,theta_boiler_long,-2.1707322266558986,0.5074010025402376,-4.278139412000386,1.8846197898270134e-05,False
20,gamma_washing_machine,3.4508504672541314,0.8358185707773689,4.128707578302074,3.648080068341386e-05,False
21,theta_washing_machine_early,0.0,0.22366088554139096,0.0,1.0,True
22,theta_washing_machine_late,-0.1747481398170449,0.22970096791789957,-0.7607636197663038,0.44679826759115526,False
23,theta_washing_machine_short,0.0,0.4998066753153813,0.0,1.0,True
24,theta_washing_machine_long,-0.12387327406181546,0.0966870896213846,-1.2811769859542654,0.20013150774564958,False
