,Name,Value,Robust std err.,Robust t-stat.,Robust p-value,Active bound
0,gamma_ac_1,0.0,0.38122892850416057,0.0,1.0,True
1,theta_ac_early,-0.29804094140334875,0.22370579590703302,-1.332289761179043,0.1827649903459414,False
2,theta_ac_late,-0.6529444403147796,0.1621188113872535,-4.02756740397689,5.635691367289475e-05,False
3,theta_ac_short,-0.13462221307010047,0.13390200108327613,-1.0053786499155934,0.3147145563779694,False
4,theta_ac_long,-0.5340614951281475,0.09884216818025061,-5.403174626382355,6.547166364612167e-08,False
5,gamma_ac_2,0.988193233809909,0.4309330221386767,2.293148083443702,0.02183948091381982,False
6,gamma_boiler,4.1339248935589294,0.37190898741999523,11.11542079753643,0.0,False
7,theta_boiler_early,0.0,0.15233604651233995,0.0,1.0,True
8,theta_boiler_late,-0.5185366415659788,0.09434971358032453,-5.495900537361178,3.887215682674139e-08,False
9,theta_boiler_short,0.0,0.6075790025165034,0.0,1.0,True
10,theta_boiler_long,-4.011981593264143,0.571447519312203,-7.020734989090484,2.2071233729548112e-12,False
11,gamma_washing_machine,0.7463702771706303,0.406656617028443,1.8353821035166544,0.06644909352419393,False
12,theta_washing_machine_early,0.0,0.2593702227760805,0.0,1.0,True
13,theta_washing_machine_late,-0.13456116405509408,0.12124359789362286,-1.109841396930136,0.2670673771533467,False
14,theta_washing_machine_short,0.0,0.3825287595873468,0.0,1.0,True
15,theta_washing_machine_long,-0.4049445773029989,0.13220893922340646,-3.062913746087352,0.0021919322939332186,False
