,Name,Value,Robust std err.,Robust t-stat.,Robust p-value,Active bound
0,gamma_ac_1,0.0,0.4349067951848543,0.0,1.0,True
1,theta_NF_early,0.0,0.15787469900363543,0.0,1.0,True
2,theta_NF_late,0.0,0.0869158983673387,0.0,1.0,True
3,theta_NF_short,0.0,0.24965589967768176,0.0,1.0,True
4,theta_NF_long,-0.7077565222017912,0.0981001164485183,-7.214634883468388,5.406786129924512e-13,False
5,gamma_boiler,1.9931799419414344,0.3316646356271393,6.009624566009465,1.8595343043159573e-09,False
6,gamma_dishwasher,0.31142513101251185,0.38368549792457024,0.8116677140446308,0.4169823249975648,False
7,theta_F_early,0.0,0.18085736874481154,0.0,1.0,True
8,theta_F_late,0.0,0.11624713075585437,0.0,1.0,True
9,theta_F_short,-0.8003560117427602,0.29109262399786295,-2.749489151427746,0.005968823865663886,False
10,theta_F_long,-0.7840619374658887,0.13438818106852182,-5.834307237673761,5.4014512862465835e-09,False
11,gamma_washing_machine,0.6304232178035247,0.31412417656285385,2.006923582583214,0.044757800388791846,False
