,Name,Value,Robust std err.,Robust t-stat.,Robust p-value,Active bound
0,gamma_ac_1,0.283481197734737,0.2944232487244621,0.9628356420998353,0.3356300110062298,False
1,theta_ac_1_early,0.0,0.1550404494592116,0.0,1.0,True
2,theta_ac_1_late,0.0,0.14181449073385494,0.0,1.0,True
3,theta_ac_1_short,-0.014227343097125339,0.10070772041015896,-0.14127360880755419,0.8876537976144712,False
4,theta_ac_1_long,0.0,0.1018928840402515,0.0,1.0,True
5,gamma_ac_2,0.4342942047436206,0.31093475307077134,1.3967374198431002,0.1624925471148484,False
6,theta_ac_2_early,0.0,0.1732141852182671,0.0,1.0,True
7,theta_ac_2_late,0.0,0.19236264013370535,0.0,1.0,True
8,theta_ac_2_short,0.0,0.06575499747079845,0.0,1.0,True
9,theta_ac_2_long,0.0,0.06017928859605487,0.0,1.0,True
10,gamma_boiler,2.8831859154794217,0.30234948238189324,9.535937990585714,0.0,False
11,theta_boiler_early,-0.19003046427936568,0.11530770276113261,-1.6480292272670294,0.09934667373216266,False
12,theta_boiler_late,-0.45775040347202006,0.09536936621707283,-4.799763505087387,1.588531022056472e-06,False
13,theta_boiler_short,0.0,0.8397021683302535,0.0,1.0,True
14,theta_boiler_long,-1.5414576374205382,0.3766315184357683,-4.092747319243337,4.2629217737344405e-05,False
15,gamma_washing_machine,1.7257150003649224,0.48975715502273504,3.523613657639801,0.0004257044731041937,False
16,theta_washing_machine_early,-0.42949486690768235,0.27222664027481064,-1.5777106402007925,0.11463210075318386,False
17,theta_washing_machine_late,-0.28752631658688754,0.21533778391840475,-1.335233935052644,0.1817997934349469,False
18,theta_washing_machine_short,-2.007949912822768,0.6125931777494527,-3.2777869322665047,0.0010462433626807766,False
19,theta_washing_machine_long,-1.431927933623882,0.3792887199249117,-3.775297968015929,0.00015981651030205768,False
